State,Date,ConfirmedCases
CA,8/28/2020,4615
CA,8/29/2020,4430
CA,8/30/2020,2689
CA,8/31/2020,7830
CA,9/1/2020,4250
CA,9/2/2020,5118
CA,9/3/2020,4267
CA,9/4/2020,5646
CA,9/5/2020,4256
TX,1/22/2020,0
TX,1/23/2020,0
TX,1/24/2020,0
TX,1/25/2020,0
TX,1/26/2020,0
TX,1/27/2020,0
TX,1/28/2020,0
TX,1/29/2020,0
TX,1/30/2020,0
TX,1/31/2020,0
TX,2/1/2020,0
TX,2/2/2020,0
TX,2/3/2020,0
TX,2/4/2020,0
TX,2/5/2020,0
TX,2/6/2020,0
TX,2/7/2020,0
TX,2/8/2020,0
TX,2/9/2020,0
TX,2/10/2020,0
TX,2/11/2020,0
TX,2/12/2020,0
TX,2/13/2020,0
TX,2/14/2020,0
TX,2/15/2020,0
TX,2/16/2020,0
TX,2/17/2020,0
TX,2/18/2020,0
TX,2/19/2020,0
TX,2/20/2020,0
TX,2/21/2020,0
TX,2/22/2020,0
TX,2/23/2020,0
TX,2/24/2020,0
TX,2/25/2020,0
TX,2/26/2020,0
TX,2/27/2020,0
TX,2/28/2020,0
TX,2/29/2020,0
TX,3/1/2020,0
TX,3/2/2020,0
TX,3/3/2020,0
TX,3/4/2020,0
TX,3/5/2020,3
TX,3/6/2020,1
TX,3/7/2020,4
TX,3/8/2020,3
TX,3/9/2020,5
TX,3/10/2020,5
TX,3/11/2020,0
TX,3/12/2020,2
TX,3/13/2020,14
TX,3/14/2020,14
TX,3/15/2020,7
TX,3/16/2020,1
TX,3/17/2020,15
TX,3/18/2020,32
TX,3/19/2020,89
TX,3/20/2020,90
TX,3/21/2020,34
TX,3/22/2020,46
TX,3/23/2020,337
TX,3/24/2020,192
TX,3/25/2020,317
TX,3/26/2020,365
TX,3/27/2020,339
TX,3/28/2020,310
TX,3/29/2020,438
TX,3/30/2020,422
TX,3/31/2020,519
TX,4/1/2020,664
TX,4/2/2020,686
TX,4/3/2020,750
TX,4/4/2020,659
TX,4/5/2020,644
TX,4/6/2020,576
TX,4/7/2020,1070
TX,4/8/2020,1065
TX,4/9/2020,845
TX,4/10/2020,1469
TX,4/11/2020,921
TX,4/12/2020,778
TX,4/13/2020,479
TX,4/14/2020,410
TX,4/15/2020,1296
TX,4/16/2020,920
TX,4/17/2020,922
TX,4/18/2020,499
TX,4/19/2020,842
TX,4/20/2020,356
TX,4/21/2020,737
TX,4/22/2020,869
TX,4/23/2020,880
TX,4/24/2020,861
TX,4/25/2020,966
TX,4/26/2020,849
TX,4/27/2020,659
TX,4/28/2020,835
TX,4/29/2020,862
TX,4/30/2020,1018
TX,5/1/2020,1121
TX,5/2/2020,1282
TX,5/3/2020,1000
TX,5/4/2020,785
TX,5/5/2020,1035
TX,5/6/2020,1032
TX,5/7/2020,1138
TX,5/8/2020,1223
TX,5/9/2020,1249
TX,5/10/2020,986
TX,5/11/2020,1000
TX,5/12/2020,1173
TX,5/13/2020,1337
TX,5/14/2020,1425
TX,5/15/2020,1336
TX,5/16/2020,1798
TX,5/17/2020,776
TX,5/18/2020,890
TX,5/19/2020,1194
TX,5/20/2020,1264
TX,5/21/2020,1045
TX,5/22/2020,1327
TX,5/23/2020,1059
TX,5/24/2020,840
TX,5/25/2020,623
TX,5/26/2020,630
TX,5/27/2020,1359
TX,5/28/2020,1852
TX,5/29/2020,1209
TX,5/30/2020,1350
TX,5/31/2020,1950
TX,6/1/2020,592
TX,6/2/2020,1667
TX,6/3/2020,1674
TX,6/4/2020,1614
TX,6/5/2020,1690
TX,6/6/2020,1936
TX,6/7/2020,1424
TX,6/8/2020,653
TX,6/9/2020,1943
TX,6/10/2020,2448
TX,6/11/2020,1814
TX,6/12/2020,2091
TX,6/13/2020,2338
TX,6/14/2020,1918
TX,6/15/2020,1265
TX,6/16/2020,3815
TX,6/17/2020,3141
TX,6/18/2020,3509
TX,6/19/2020,3471
TX,6/20/2020,4390
TX,6/21/2020,3864
TX,6/22/2020,3278
TX,6/23/2020,5529
TX,6/24/2020,5551
TX,6/25/2020,5973
TX,6/26/2020,5714
TX,6/27/2020,5741
TX,6/28/2020,5365
TX,6/29/2020,4284
TX,6/30/2020,6952
TX,7/1/2020,8086
TX,7/2/2020,7916
TX,7/3/2020,7550
TX,7/4/2020,8264
TX,7/5/2020,3443
TX,7/6/2020,5318
TX,7/7/2020,10020
TX,7/8/2020,9976
TX,7/9/2020,9789
TX,7/10/2020,9579
TX,7/11/2020,9429
TX,7/12/2020,7667
TX,7/13/2020,5144
TX,7/14/2020,10176
TX,7/15/2020,10038
TX,7/16/2020,19451
TX,7/17/2020,9865
TX,7/18/2020,11022
TX,7/19/2020,8629
TX,7/20/2020,5920
TX,7/21/2020,10490
TX,7/22/2020,9483
TX,7/23/2020,9574
TX,7/24/2020,8571
TX,7/25/2020,6447
TX,7/26/2020,5607
TX,7/27/2020,4417
TX,7/28/2020,9849
TX,7/29/2020,8750
TX,7/30/2020,9435
TX,7/31/2020,8357
TX,8/1/2020,9457
TX,8/2/2020,0
TX,8/3/2020,11342
TX,8/4/2020,9249
TX,8/5/2020,8957
TX,8/6/2020,7684
TX,8/7/2020,7180
TX,8/8/2020,7033
TX,8/9/2020,5009
TX,8/10/2020,4463
TX,8/11/2020,9893
TX,8/12/2020,6356
TX,8/13/2020,6770
TX,8/14/2020,6882
TX,8/15/2020,8394
TX,8/16/2020,6137
TX,8/17/2020,7934
TX,8/18/2020,7354
TX,8/19/2020,6951
TX,8/20/2020,5502
TX,8/21/2020,4923
TX,8/22/2020,6076
TX,8/23/2020,4068
TX,8/24/2020,2875
TX,8/25/2020,6102
TX,8/26/2020,5306
TX,8/27/2020,5721
TX,8/28/2020,4039
TX,8/29/2020,4596
TX,8/30/2020,3741
TX,8/31/2020,2903
TX,9/1/2020,4603
TX,9/2/2020,4456
TX,9/3/2020,3870
TX,9/4/2020,5428
TX,9/5/2020,4649
FL,1/22/2020,0
FL,1/23/2020,0
FL,1/24/2020,0
FL,1/25/2020,0
FL,1/26/2020,0
FL,1/27/2020,0
FL,1/28/2020,0
FL,1/29/2020,0
FL,1/30/2020,0
FL,1/31/2020,0
FL,2/1/2020,0
FL,2/2/2020,0
FL,2/3/2020,0
FL,2/4/2020,0
FL,2/5/2020,0
FL,2/6/2020,0
FL,2/7/2020,0
FL,2/8/2020,0
FL,2/9/2020,0
FL,2/10/2020,0
FL,2/11/2020,0
FL,2/12/2020,0
FL,2/13/2020,0
FL,2/14/2020,0
FL,2/15/2020,0
FL,2/16/2020,0
FL,2/17/2020,0
FL,2/18/2020,0
FL,2/19/2020,0
FL,2/20/2020,0
FL,2/21/2020,0
FL,2/22/2020,0
FL,2/23/2020,0
FL,2/24/2020,0
FL,2/25/2020,0
FL,2/26/2020,0
FL,2/27/2020,0
FL,2/28/2020,0
FL,2/29/2020,0
FL,3/1/2020,0
FL,3/2/2020,1
FL,3/3/2020,0
FL,3/4/2020,0
FL,3/5/2020,1
FL,3/6/2020,0
FL,3/7/2020,4
FL,3/8/2020,3
FL,3/9/2020,5
FL,3/10/2020,11
FL,3/11/2020,6
FL,3/12/2020,10
FL,3/13/2020,23
FL,3/14/2020,32
FL,3/15/2020,4
FL,3/16/2020,38
FL,3/17/2020,73
FL,3/18/2020,117
FL,3/19/2020,101
FL,3/20/2020,220
FL,3/21/2020,112
FL,3/22/2020,243
FL,3/23/2020,223
FL,3/24/2020,185
FL,3/25/2020,563
FL,3/26/2020,483
FL,3/27/2020,740
FL,3/28/2020,840
FL,3/29/2020,909
FL,3/30/2020,755
FL,3/31/2020,1037
FL,4/1/2020,817
FL,4/2/2020,1443
FL,4/3/2020,1259
FL,4/4/2020,1276
FL,4/5/2020,812
FL,4/6/2020,1278
FL,4/7/2020,1121
FL,4/8/2020,951
FL,4/9/2020,1128
FL,4/10/2020,1142
FL,4/11/2020,1015
FL,4/12/2020,875
FL,4/13/2020,1161
FL,4/14/2020,605
FL,4/15/2020,893
FL,4/16/2020,822
FL,4/17/2020,1407
FL,4/18/2020,744
FL,4/19/2020,821
FL,4/20/2020,744
FL,4/21/2020,811
FL,4/22/2020,712
FL,4/23/2020,1071
FL,4/24/2020,886
FL,4/25/2020,302
FL,4/26/2020,692
FL,4/27/2020,608
FL,4/28/2020,705
FL,4/29/2020,345
FL,4/30/2020,498
FL,5/1/2020,1034
FL,5/2/2020,734
FL,5/3/2020,615
FL,5/4/2020,814
FL,5/5/2020,532
FL,5/6/2020,558
FL,5/7/2020,825
FL,5/8/2020,368
FL,5/9/2020,786
FL,5/10/2020,594
FL,5/11/2020,386
FL,5/12/2020,898
FL,5/13/2020,485
FL,5/14/2020,821
FL,5/15/2020,923
FL,5/16/2020,675
FL,5/17/2020,775
FL,5/18/2020,851
FL,5/19/2020,504
FL,5/20/2020,529
FL,5/21/2020,1199
FL,5/22/2020,774
FL,5/23/2020,680
FL,5/24/2020,738
FL,5/25/2020,879
FL,5/26/2020,509
FL,5/27/2020,379
FL,5/28/2020,651
FL,5/29/2020,1214
FL,5/30/2020,924
FL,5/31/2020,740
FL,6/1/2020,667
FL,6/2/2020,616
FL,6/3/2020,1313
FL,6/4/2020,1419
FL,6/5/2020,1300
FL,6/6/2020,1269
FL,6/7/2020,1176
FL,6/8/2020,971
FL,6/9/2020,1097
FL,6/10/2020,1369
FL,6/11/2020,1699
FL,6/12/2020,1897
FL,6/13/2020,2577
FL,6/14/2020,2017
FL,6/15/2020,1764
FL,6/16/2020,2783
FL,6/17/2020,2600
FL,6/18/2020,3205
FL,6/19/2020,3819
FL,6/20/2020,4045
FL,6/21/2020,3472
FL,6/22/2020,2935
FL,6/23/2020,3272
FL,6/24/2020,5525
FL,6/25/2020,5003
FL,6/26/2020,8932
FL,6/27/2020,9537
FL,6/28/2020,8573
FL,6/29/2020,5271
FL,6/30/2020,6077
FL,7/1/2020,6553
FL,7/2/2020,10104
FL,7/3/2020,9468
FL,7/4/2020,11449
FL,7/5/2020,10034
FL,7/6/2020,6332
FL,7/7/2020,7346
FL,7/8/2020,9969
FL,7/9/2020,8924
FL,7/10/2020,11424
FL,7/11/2020,10352
FL,7/12/2020,15282
FL,7/13/2020,12603
FL,7/14/2020,9184
FL,7/15/2020,10177
FL,7/16/2020,13925
FL,7/17/2020,11453
FL,7/18/2020,10312
FL,7/19/2020,12491
FL,7/20/2020,10331
FL,7/21/2020,9422
FL,7/22/2020,9787
FL,7/23/2020,10236
FL,7/24/2020,12430
FL,7/25/2020,12182
FL,7/26/2020,9307
FL,7/27/2020,8854
FL,7/28/2020,9192
FL,7/29/2020,9465
FL,7/30/2020,9955
FL,7/31/2020,8996
FL,8/1/2020,9595
FL,8/2/2020,7058
FL,8/3/2020,4755
FL,8/4/2020,5430
FL,8/5/2020,5422
FL,8/6/2020,7667
FL,8/7/2020,7657
FL,8/8/2020,8499
FL,8/9/2020,6212
FL,8/10/2020,4153
FL,8/11/2020,5807
FL,8/12/2020,8127
FL,8/13/2020,6219
FL,8/14/2020,6133
FL,8/15/2020,6328
FL,8/16/2020,3766
FL,8/17/2020,2673
FL,8/18/2020,3832
FL,8/19/2020,4112
FL,8/20/2020,4543
FL,8/21/2020,4670
FL,8/22/2020,4287
FL,8/23/2020,2966
FL,8/24/2020,2250
FL,8/25/2020,2663
FL,8/26/2020,3195
FL,8/27/2020,3245
FL,8/28/2020,3766
FL,8/29/2020,3173
FL,8/30/2020,2569
FL,8/31/2020,1883
FL,9/1/2020,7489
FL,9/2/2020,2424
FL,9/3/2020,3546
FL,9/4/2020,3192
FL,9/5/2020,3650
NY,1/22/2020,0
NY,1/23/2020,0
NY,1/24/2020,0
NY,1/25/2020,0
NY,1/26/2020,0
NY,1/27/2020,0
NY,1/28/2020,0
NY,1/29/2020,0
NY,1/30/2020,0
NY,1/31/2020,0
NY,2/1/2020,0
NY,2/2/2020,0
NY,2/3/2020,0
NY,2/4/2020,0
NY,2/5/2020,0
NY,2/6/2020,0
NY,2/7/2020,0
NY,2/8/2020,0
NY,2/9/2020,0
NY,2/10/2020,0
NY,2/11/2020,0
NY,2/12/2020,0
NY,2/13/2020,0
NY,2/14/2020,0
NY,2/15/2020,0
NY,2/16/2020,0
NY,2/17/2020,0
NY,2/18/2020,0
NY,2/19/2020,0
NY,2/20/2020,0
NY,2/21/2020,0
NY,2/22/2020,0
NY,2/23/2020,0
NY,2/24/2020,0
NY,2/25/2020,0
NY,2/26/2020,0
NY,2/27/2020,0
NY,2/28/2020,0
NY,2/29/2020,0
NY,3/1/2020,0
NY,3/2/2020,1
NY,3/3/2020,1
NY,3/4/2020,9
NY,3/5/2020,12
NY,3/6/2020,2
NY,3/7/2020,52
NY,3/8/2020,30
NY,3/9/2020,38
NY,3/10/2020,28
NY,3/11/2020,34
NY,3/12/2020,118
NY,3/13/2020,58
NY,3/14/2020,144
NY,3/15/2020,113
NY,3/16/2020,191
NY,3/17/2020,713
NY,3/18/2020,1507
NY,3/19/2020,2582
NY,3/20/2020,2208
NY,3/21/2020,4291
NY,3/22/2020,3624
NY,3/23/2020,5147
NY,3/24/2020,4666
NY,3/25/2020,7362
NY,3/26/2020,6009
NY,3/27/2020,5837
NY,3/28/2020,8491
NY,3/29/2020,5938
NY,3/30/2020,7893
NY,3/31/2020,7313
NY,4/1/2020,7686
NY,4/2/2020,8257
NY,4/3/2020,13262
NY,4/4/2020,10240
NY,4/5/2020,8321
NY,4/6/2020,8652
NY,4/7/2020,8158
NY,4/8/2020,10488
NY,4/9/2020,10461
NY,4/10/2020,10575
NY,4/11/2020,9946
NY,4/12/2020,8236
NY,4/13/2020,6337
NY,4/14/2020,7177
NY,4/15/2020,11571
NY,4/16/2020,8505
NY,4/17/2020,7358
NY,4/18/2020,7090
NY,4/19/2020,6054
NY,4/20/2020,4726
NY,4/21/2020,4376
NY,4/22/2020,5650
NY,4/23/2020,5922
NY,4/24/2020,8130
NY,4/25/2020,10553
NY,4/26/2020,5902
NY,4/27/2020,3951
NY,4/28/2020,3110
NY,4/29/2020,4585
NY,4/30/2020,4681
NY,5/1/2020,3942
NY,5/2/2020,4663
NY,5/3/2020,3438
NY,5/4/2020,2538
NY,5/5/2020,2239
NY,5/6/2020,2786
NY,5/7/2020,3491
NY,5/8/2020,2938
NY,5/9/2020,2715
NY,5/10/2020,2273
NY,5/11/2020,1660
NY,5/12/2020,1430
NY,5/13/2020,2176
NY,5/14/2020,2390
NY,5/15/2020,2762
NY,5/16/2020,2419
NY,5/17/2020,1889
NY,5/18/2020,1250
NY,5/19/2020,1474
NY,5/20/2020,1525
NY,5/21/2020,2088
NY,5/22/2020,1696
NY,5/23/2020,1772
NY,5/24/2020,1589
NY,5/25/2020,1249
NY,5/26/2020,1072
NY,5/27/2020,1129
NY,5/28/2020,1768
NY,5/29/2020,1551
NY,5/30/2020,1376
NY,5/31/2020,1110
NY,6/1/2020,941
NY,6/2/2020,1329
NY,6/3/2020,1045
NY,6/4/2020,1048
NY,6/5/2020,1075
NY,6/6/2020,1108
NY,6/7/2020,781
NY,6/8/2020,702
NY,6/9/2020,683
NY,6/10/2020,674
NY,6/11/2020,736
NY,6/12/2020,822
NY,6/13/2020,916
NY,6/14/2020,694
NY,6/15/2020,620
NY,6/16/2020,631
NY,6/17/2020,567
NY,6/18/2020,618
NY,6/19/2020,796
NY,6/20/2020,716
NY,6/21/2020,664
NY,6/22/2020,552
NY,6/23/2020,597
NY,6/24/2020,582
NY,6/25/2020,748
NY,6/26/2020,805
NY,6/27/2020,703
NY,6/28/2020,616
NY,6/29/2020,381
NY,6/30/2020,507
NY,7/1/2020,752
NY,7/2/2020,773
NY,7/3/2020,918
NY,7/4/2020,724
NY,7/5/2020,537
NY,7/6/2020,518
NY,7/7/2020,595
NY,7/8/2020,70
NY,7/9/2020,1192
NY,7/10/2020,783
NY,7/11/2020,740
NY,7/12/2020,677
NY,7/13/2020,557
NY,7/14/2020,912
NY,7/15/2020,831
NY,7/16/2020,769
NY,7/17/2020,776
NY,7/18/2020,754
NY,7/19/2020,502
NY,7/20/2020,519
NY,7/21/2020,855
NY,7/22/2020,695
NY,7/23/2020,814
NY,7/24/2020,750
NY,7/25/2020,760
NY,7/26/2020,536
NY,7/27/2020,608
NY,7/28/2020,534
NY,7/29/2020,715
NY,7/30/2020,777
NY,7/31/2020,644
NY,8/1/2020,753
NY,8/2/2020,531
NY,8/3/2020,674
NY,8/4/2020,617
NY,8/5/2020,634
NY,8/6/2020,705
NY,8/7/2020,714
NY,8/8/2020,703
NY,8/9/2020,515
NY,8/10/2020,476
NY,8/11/2020,667
NY,8/12/2020,700
NY,8/13/2020,737
NY,8/14/2020,727
NY,8/15/2020,734
NY,8/16/2020,607
NY,8/17/2020,408
NY,8/18/2020,655
NY,8/19/2020,631
NY,8/20/2020,601
NY,8/21/2020,709
NY,8/22/2020,653
NY,8/23/2020,572
NY,8/24/2020,408
NY,8/25/2020,629
NY,8/26/2020,566
NY,8/27/2020,791
NY,8/28/2020,636
NY,8/29/2020,635
NY,8/30/2020,698
NY,8/31/2020,656
NY,9/1/2020,754
NY,9/2/2020,708
NY,9/3/2020,889
NY,9/4/2020,864
NY,9/5/2020,801
